,Date of Sale,City,Department,Product,Sale,Predicted Sale,Flag,Out of Stock,Buffer Stock
93,9/29/2013,C,Footwear Mens,17295,2,3,History,0,5
94,10/6/2013,C,Footwear Mens,17295,3,2,History,0,3
95,10/13/2013,C,Footwear Mens,17295,2,1,History,0,3
96,10/20/2013,C,Footwear Mens,17295,1,1,History,0,5
97,10/27/2013,C,Footwear Mens,17295,6,2,History,0,8
98,11/3/2013,C,Footwear Mens,17295,1,3,History,0,3
99,11/10/2013,C,Footwear Mens,17295,2,1,History,0,10
100,11/17/2013,C,Footwear Mens,17295,3,4,History,0,18
101,11/24/2013,C,Footwear Mens,17295,8,8,History,0,10
102,12/1/2013,C,Footwear Mens,17295,4,4,History,0,5
103,12/8/2013,C,Footwear Mens,17295,1,2,History,1,3
104,12/15/2013,C,Footwear Mens,17295,0,1,History,1,5
105,12/22/2013,C,Footwear Mens,17295,4,2,History,0,3
106,12/29/2013,C,Footwear Mens,17295,1,1,History,0,5
107,1/5/2014,C,Footwear Mens,17295,0,2,History,0,10
108,1/12/2014,C,Footwear Mens,17295,2,4,History,0,1
109,1/19/2014,C,Footwear Mens,17295,1,0,History,0,1
110,1/26/2014,C,Footwear Mens,17295,1,0,History,0,10
111,2/2/2014,C,Footwear Mens,17295,1,4,History,0,5
112,2/9/2014,C,Footwear Mens,17295,4,2,History,0,3
113,2/16/2014,C,Footwear Mens,17295,3,1,History,0,10
114,2/23/2014,C,Footwear Mens,17295,1,4,History,0,3
115,3/2/2014,C,Footwear Mens,17295,0,1,History,1,3
116,3/9/2014,C,Footwear Mens,17295,2,1,History,0,1
117,3/16/2014,C,Footwear Mens,17295,1,0,History,0,1
118,3/23/2014,C,Footwear Mens,17295,0,0,History,0,5
119,3/30/2014,C,Footwear Mens,17295,5,2,History,0,5
120,4/6/2014,C,Footwear Mens,17295,1,2,History,0,10
121,4/13/2014,C,Footwear Mens,17295,4,4,History,0,10
122,4/20/2014,C,Footwear Mens,17295,2,4,History,0,8
123,4/27/2014,C,Footwear Mens,17295,2,3,History,0,10
124,5/4/2014,C,Footwear Mens,17295,1,4,History,0,1
125,5/11/2014,C,Footwear Mens,17295,0,0,History,0,3
126,5/18/2014,C,Footwear Mens,17295,0,1,History,0,1
127,5/25/2014,C,Footwear Mens,17295,0,0,History,0,1
128,6/1/2014,C,Footwear Mens,17295,1,0,History,0,1
129,6/8/2014,C,Footwear Mens,17295,1,0,History,0,5
130,6/15/2014,C,Footwear Mens,17295,2,2,History,0,3
131,6/22/2014,C,Footwear Mens,17295,1,1,History,0,5
132,6/29/2014,C,Footwear Mens,17295,1,2,History,0,3
133,7/6/2014,C,Footwear Mens,17295,0,1,History,0,1
134,7/13/2014,C,Footwear Mens,17295,0,0,History,0,1
135,7/20/2014,C,Footwear Mens,17295,1,0,History,0,3
136,7/27/2014,C,Footwear Mens,17295,0,1,History,0,1
137,8/3/2014,C,Footwear Mens,17295,0,0,History,0,1
138,8/10/2014,C,Footwear Mens,17295,0,0,History,0,1
139,8/17/2014,C,Footwear Mens,17295,0,0,History,0,3
140,8/24/2014,C,Footwear Mens,17295,1,1,History,0,1
141,8/31/2014,C,Footwear Mens,17295,1,0,History,0,3
142,9/7/2014,C,Footwear Mens,17295,0,1,History,0,1
143,9/14/2014,C,Footwear Mens,17295,0,0,History,0,1
144,9/21/2014,C,Footwear Mens,17295,0,0,History,0,1
145,9/28/2014,C,Footwear Mens,17295,0,0,History,0,3
146,10/5/2014,C,Footwear Mens,17295,1,1,History,0,3
147,10/12/2014,C,Footwear Mens,17295,0,1,History,0,1
148,10/19/2014,C,Footwear Mens,17295,0,0,History,0,5
149,10/26/2014,C,Footwear Mens,17295,0,2,History,0,1
150,11/2/2014,C,Footwear Mens,17295,2,0,History,0,5
151,11/9/2014,C,Footwear Mens,17295,1,2,History,0,1
152,11/16/2014,C,Footwear Mens,17295,0,0,History,0,12
153,11/23/2014,C,Footwear Mens,17295,5,5,History,0,3
154,11/30/2014,C,Footwear Mens,17295,1,1,History,0,3
155,12/7/2014,C,Footwear Mens,17295,2,1,History,0,1
156,12/14/2014,C,Footwear Mens,17295,1,0,History,0,8
157,12/21/2014,C,Footwear Mens,17295,1,3,History,0,1
158,12/28/2014,C,Footwear Mens,17295,0,0,History,0,1
159,1/4/2015,C,Footwear Mens,17295,1,0,History,0,5
160,1/11/2015,C,Footwear Mens,17295,4,2,History,0,5
161,1/18/2015,C,Footwear Mens,17295,0,2,History,0,3
162,1/25/2015,C,Footwear Mens,17295,0,1,History,1,10
163,2/1/2015,C,Footwear Mens,17295,7,4,History,0,12
164,2/8/2015,C,Footwear Mens,17295,3,5,History,0,8
165,2/15/2015,C,Footwear Mens,17295,1,3,History,1,8
166,2/22/2015,C,Footwear Mens,17295,5,3,History,0,8
167,3/1/2015,C,Footwear Mens,17295,4,3,History,0,8
168,3/8/2015,C,Footwear Mens,17295,2,3,History,0,5
169,3/15/2015,C,Footwear Mens,17295,0,2,History,1,3
170,3/22/2015,C,Footwear Mens,17295,0,1,History,1,5
171,3/29/2015,C,Footwear Mens,17295,0,2,History,1,1
172,4/5/2015,C,Footwear Mens,17295,0,0,History,1,8
173,4/12/2015,C,Footwear Mens,17295,0,3,History,1,3
174,4/19/2015,C,Footwear Mens,17295,0,1,History,1,1
175,4/26/2015,C,Footwear Mens,17295,1,0,History,0,3
176,5/3/2015,C,Footwear Mens,17295,0,1,History,1,1
177,5/10/2015,C,Footwear Mens,17295,0,0,History,1,1
178,5/17/2015,C,Footwear Mens,17295,0,0,History,1,1
179,5/24/2015,C,Footwear Mens,17295,0,0,History,1,1
180,5/31/2015,C,Footwear Mens,17295,Not Available,0,Forecast,no answer,0
181,6/7/2015,C,Footwear Mens,17295,Not Available,1,Forecast,no answer,0
182,6/14/2015,C,Footwear Mens,17295,Not Available,0,Forecast,no answer,0
183,6/21/2015,C,Footwear Mens,17295,Not Available,2,Forecast,no answer,0
184,6/28/2015,C,Footwear Mens,17295,Not Available,3,Forecast,no answer,0
185,7/5/2015,C,Footwear Mens,17295,Not Available,2,Forecast,no answer,0
186,7/12/2015,C,Footwear Mens,17295,Not Available,4,Forecast,no answer,0
187,7/19/2015,C,Footwear Mens,17295,Not Available,3,Forecast,no answer,0
188,7/26/2015,C,Footwear Mens,17295,Not Available,2,Forecast,no answer,0
189,7/28/2013,A,Footwear Mens,17298,0,0,History,0,1
190,8/4/2013,A,Footwear Mens,17298,0,0,History,0,1
191,8/11/2013,A,Footwear Mens,17298,0,0,History,0,1
192,8/18/2013,A,Footwear Mens,17298,0,0,History,0,1
193,8/25/2013,A,Footwear Mens,17298,0,0,History,0,1
194,9/1/2013,A,Footwear Mens,17298,0,0,History,0,1
195,9/8/2013,A,Footwear Mens,17298,0,0,History,0,1
196,9/15/2013,A,Footwear Mens,17298,0,0,History,0,2
197,9/22/2013,A,Footwear Mens,17298,0,1,History,0,2
198,9/29/2013,A,Footwear Mens,17298,0,1,History,0,2
199,10/6/2013,A,Footwear Mens,17298,0,1,History,0,1
200,10/13/2013,A,Footwear Mens,17298,0,0,History,0,1
201,10/20/2013,A,Footwear Mens,17298,0,0,History,0,1
202,10/27/2013,A,Footwear Mens,17298,0,0,History,0,1
203,11/3/2013,A,Footwear Mens,17298,0,0,History,0,2
204,11/10/2013,A,Footwear Mens,17298,0,1,History,0,1
205,11/17/2013,A,Footwear Mens,17298,0,0,History,0,1
206,11/24/2013,A,Footwear Mens,17298,0,0,History,0,1
207,12/1/2013,A,Footwear Mens,17298,0,0,History,0,1
208,12/8/2013,A,Footwear Mens,17298,0,0,History,0,1
209,12/15/2013,A,Footwear Mens,17298,0,0,History,0,1
210,12/22/2013,A,Footwear Mens,17298,0,0,History,0,1
211,12/29/2013,A,Footwear Mens,17298,0,0,History,0,1
212,1/5/2014,A,Footwear Mens,17298,0,0,History,0,1
213,1/12/2014,A,Footwear Mens,17298,0,0,History,0,1
214,1/19/2014,A,Footwear Mens,17298,0,0,History,0,2
215,1/26/2014,A,Footwear Mens,17298,0,1,History,0,1
216,2/2/2014,A,Footwear Mens,17298,0,0,History,0,1
217,2/9/2014,A,Footwear Mens,17298,0,0,History,0,1
218,2/16/2014,A,Footwear Mens,17298,0,0,History,0,1
219,2/23/2014,A,Footwear Mens,17298,0,0,History,0,1
220,3/2/2014,A,Footwear Mens,17298,0,0,History,0,1
221,3/9/2014,A,Footwear Mens,17298,0,0,History,0,1
222,3/16/2014,A,Footwear Mens,17298,0,0,History,0,1
223,3/23/2014,A,Footwear Mens,17298,0,0,History,0,1
224,3/30/2014,A,Footwear Mens,17298,0,0,History,0,1
225,4/6/2014,A,Footwear Mens,17298,0,0,History,0,1
226,4/13/2014,A,Footwear Mens,17298,0,0,History,0,1
227,4/20/2014,A,Footwear Mens,17298,0,0,History,0,1
228,4/27/2014,A,Footwear Mens,17298,0,0,History,0,1
229,5/4/2014,A,Footwear Mens,17298,0,0,History,0,1
230,5/11/2014,A,Footwear Mens,17298,0,0,History,0,1
231,5/18/2014,A,Footwear Mens,17298,0,0,History,0,1
232,5/25/2014,A,Footwear Mens,17298,0,0,History,0,1
233,6/1/2014,A,Footwear Mens,17298,0,0,History,0,1
234,6/8/2014,A,Footwear Mens,17298,0,0,History,0,1
235,6/15/2014,A,Footwear Mens,17298,0,0,History,0,1
236,6/22/2014,A,Footwear Mens,17298,0,0,History,0,1
237,6/29/2014,A,Footwear Mens,17298,0,0,History,0,1
238,7/6/2014,A,Footwear Mens,17298,0,0,History,0,1
239,7/13/2014,A,Footwear Mens,17298,0,0,History,0,1
240,7/20/2014,A,Footwear Mens,17298,0,0,History,0,1
241,7/27/2014,A,Footwear Mens,17298,0,0,History,0,1
242,8/3/2014,A,Footwear Mens,17298,0,0,History,0,1
243,8/10/2014,A,Footwear Mens,17298,0,0,History,0,1
244,8/17/2014,A,Footwear Mens,17298,0,0,History,0,1
245,8/24/2014,A,Footwear Mens,17298,0,0,History,0,1
246,8/31/2014,A,Footwear Mens,17298,0,0,History,0,1
247,9/7/2014,A,Footwear Mens,17298,0,0,History,0,1
248,9/14/2014,A,Footwear Mens,17298,0,0,History,0,2
249,9/21/2014,A,Footwear Mens,17298,2,1,History,0,5
250,9/28/2014,A,Footwear Mens,17298,5,3,History,0,7
251,10/5/2014,A,Footwear Mens,17298,6,5,History,0,6
252,10/12/2014,A,Footwear Mens,17298,4,4,History,0,5
253,10/19/2014,A,Footwear Mens,17298,3,3,History,0,4
254,10/26/2014,A,Footwear Mens,17298,1,2,History,0,2
255,11/2/2014,A,Footwear Mens,17298,1,1,History,0,4
256,11/9/2014,A,Footwear Mens,17298,3,2,History,0,5
257,11/16/2014,A,Footwear Mens,17298,3,3,History,0,4
258,11/23/2014,A,Footwear Mens,17298,1,2,History,0,2
259,11/30/2014,A,Footwear Mens,17298,0,1,History,1,2
260,12/7/2014,A,Footwear Mens,17298,1,1,History,0,2
261,12/14/2014,A,Footwear Mens,17298,0,1,History,0,1
262,12/21/2014,A,Footwear Mens,17298,0,0,History,0,2
263,12/28/2014,A,Footwear Mens,17298,0,1,History,0,2
264,1/4/2015,A,Footwear Mens,17298,1,1,History,0,2
265,1/11/2015,A,Footwear Mens,17298,1,1,History,0,2
266,1/18/2015,A,Footwear Mens,17298,0,1,History,0,1
267,1/25/2015,A,Footwear Mens,17298,1,0,History,0,2
268,2/1/2015,A,Footwear Mens,17298,0,1,History,0,1
269,2/8/2015,A,Footwear Mens,17298,0,0,History,0,1
270,2/15/2015,A,Footwear Mens,17298,0,0,History,0,1
271,2/22/2015,A,Footwear Mens,17298,0,0,History,0,1
272,3/1/2015,A,Footwear Mens,17298,0,0,History,0,2
273,3/8/2015,A,Footwear Mens,17298,1,1,History,0,2
274,3/15/2015,A,Footwear Mens,17298,0,1,History,0,1
275,3/22/2015,A,Footwear Mens,17298,0,0,History,0,1
276,3/29/2015,A,Footwear Mens,17298,0,0,History,0,1
277,4/5/2015,A,Footwear Mens,17298,0,0,History,0,1
278,4/12/2015,A,Footwear Mens,17298,0,0,History,0,2
279,4/19/2015,A,Footwear Mens,17298,1,1,History,0,2
280,4/26/2015,A,Footwear Mens,17298,2,1,History,0,2
281,5/3/2015,A,Footwear Mens,17298,0,1,History,0,1
282,5/10/2015,A,Footwear Mens,17298,0,0,History,0,1
283,5/17/2015,A,Footwear Mens,17298,0,0,History,0,1
284,5/24/2015,A,Footwear Mens,17298,0,0,History,0,1
285,5/31/2015,A,Footwear Mens,17298,Not Available,0,Forecast,no answer,0
286,6/7/2015,A,Footwear Mens,17298,Not Available,0,Forecast,no answer,0
287,6/14/2015,A,Footwear Mens,17298,Not Available,0,Forecast,no answer,0
288,6/21/2015,A,Footwear Mens,17298,Not Available,0,Forecast,no answer,0
289,6/28/2015,A,Footwear Mens,17298,Not Available,0,Forecast,no answer,0
290,7/5/2015,A,Footwear Mens,17298,Not Available,0,Forecast,no answer,0
291,7/12/2015,A,Footwear Mens,17298,Not Available,0,Forecast,no answer,0
292,7/19/2015,A,Footwear Mens,17298,Not Available,0,Forecast,no answer,0
293,7/26/2015,A,Footwear Mens,17298,Not Available,0,Forecast,no answer,0
294,9/21/2014,B,Footwear Mens,17298,1,1,History,0,2
295,9/28/2014,B,Footwear Mens,17298,10,10,History,0,1
296,10/5/2014,B,Footwear Mens,17298,2,2,History,0,2
297,10/12/2014,B,Footwear Mens,17298,4,4,History,0,1
298,10/19/2014,B,Footwear Mens,17298,1,1,History,0,2
299,10/26/2014,B,Footwear Mens,17298,4,4,History,0,2
300,11/2/2014,B,Footwear Mens,17298,4,4,History,0,1
301,11/9/2014,B,Footwear Mens,17298,1,2,History,0,1
302,11/16/2014,B,Footwear Mens,17298,1,1,History,0,2
303,11/23/2014,B,Footwear Mens,17298,5,5,History,0,2
304,11/30/2014,B,Footwear Mens,17298,3,3,History,0,1
305,12/7/2014,B,Footwear Mens,17298,0,0,History,1,2
306,12/14/2014,B,Footwear Mens,17298,1,3,History,0,1
307,12/21/2014,B,Footwear Mens,17298,1,2,History,0,1
308,12/28/2014,B,Footwear Mens,17298,0,0,History,0,1
309,1/4/2015,B,Footwear Mens,17298,2,0,History,0,2
310,1/11/2015,B,Footwear Mens,17298,1,4,History,0,1
311,1/18/2015,B,Footwear Mens,17298,1,1,History,0,1
312,1/25/2015,B,Footwear Mens,17298,2,0,History,0,1
313,2/1/2015,B,Footwear Mens,17298,2,1,History,0,1
314,2/8/2015,B,Footwear Mens,17298,1,2,History,0,1
315,2/15/2015,B,Footwear Mens,17298,0,0,History,0,1
316,2/22/2015,B,Footwear Mens,17298,0,1,History,0,1
317,3/1/2015,B,Footwear Mens,17298,0,1,History,0,1
318,3/8/2015,B,Footwear Mens,17298,0,1,History,0,1
319,3/15/2015,B,Footwear Mens,17298,0,0,History,1,1
320,3/22/2015,B,Footwear Mens,17298,0,0,History,1,1
321,3/29/2015,B,Footwear Mens,17298,0,0,History,1,1
322,4/5/2015,B,Footwear Mens,17298,1,0,History,0,1
323,4/12/2015,B,Footwear Mens,17298,1,0,History,0,1
324,4/19/2015,B,Footwear Mens,17298,0,1,History,0,1
325,4/26/2015,B,Footwear Mens,17298,2,1,History,0,1
326,5/3/2015,B,Footwear Mens,17298,4,1,History,0,1
327,5/10/2015,B,Footwear Mens,17298,0,2,History,1,1
328,5/17/2015,B,Footwear Mens,17298,1,1,History,0,1
329,5/24/2015,B,Footwear Mens,17298,3,2,History,0,1
330,5/31/2015,B,Footwear Mens,17298,Not Available,2,Forecast,no answer,0
331,6/7/2015,B,Footwear Mens,17298,Not Available,1,Forecast,no answer,0
332,6/14/2015,B,Footwear Mens,17298,Not Available,2,Forecast,no answer,0
333,6/21/2015,B,Footwear Mens,17298,Not Available,4,Forecast,no answer,0
334,6/28/2015,B,Footwear Mens,17298,Not Available,0,Forecast,no answer,0
335,7/5/2015,B,Footwear Mens,17298,Not Available,1,Forecast,no answer,0
336,7/12/2015,B,Footwear Mens,17298,Not Available,3,Forecast,no answer,0
337,7/19/2015,B,Footwear Mens,17298,Not Available,2,Forecast,no answer,0
338,7/26/2015,B,Footwear Mens,17298,Not Available,1,Forecast,no answer,0
339,7/28/2013,C,Footwear Mens,17298,1,0,History,0,1
340,8/4/2013,C,Footwear Mens,17298,0,0,History,0,4
341,8/11/2013,C,Footwear Mens,17298,3,2,History,0,1
342,8/18/2013,C,Footwear Mens,17298,1,0,History,0,4
343,8/25/2013,C,Footwear Mens,17298,2,2,History,0,1
344,9/1/2013,C,Footwear Mens,17298,1,0,History,0,2
345,9/8/2013,C,Footwear Mens,17298,0,1,History,0,2
346,9/15/2013,C,Footwear Mens,17298,2,1,History,0,1
347,9/22/2013,C,Footwear Mens,17298,2,0,History,0,6
348,9/29/2013,C,Footwear Mens,17298,1,4,History,0,1
349,10/6/2013,C,Footwear Mens,17298,1,0,History,0,2
350,10/13/2013,C,Footwear Mens,17298,3,1,History,0,4
351,10/20/2013,C,Footwear Mens,17298,2,2,History,0,2
352,10/27/2013,C,Footwear Mens,17298,2,1,History,0,4
353,11/3/2013,C,Footwear Mens,17298,2,2,History,0,2
354,11/10/2013,C,Footwear Mens,17298,1,1,History,0,5
355,11/17/2013,C,Footwear Mens,17298,1,3,History,0,1
356,11/24/2013,C,Footwear Mens,17298,2,0,History,0,4
357,12/1/2013,C,Footwear Mens,17298,1,2,History,0,4
358,12/8/2013,C,Footwear Mens,17298,2,2,History,0,1
359,12/15/2013,C,Footwear Mens,17298,0,0,History,0,2
360,12/22/2013,C,Footwear Mens,17298,2,1,History,0,1
361,12/29/2013,C,Footwear Mens,17298,1,0,History,0,5
362,1/5/2014,C,Footwear Mens,17298,3,3,History,0,2
363,1/12/2014,C,Footwear Mens,17298,2,1,History,0,6
364,1/19/2014,C,Footwear Mens,17298,4,4,History,0,5
365,1/26/2014,C,Footwear Mens,17298,3,3,History,0,7
366,2/2/2014,C,Footwear Mens,17298,2,5,History,0,4
367,2/9/2014,C,Footwear Mens,17298,1,2,History,0,4
368,2/16/2014,C,Footwear Mens,17298,4,2,History,0,4
369,2/23/2014,C,Footwear Mens,17298,3,2,History,0,2
370,3/2/2014,C,Footwear Mens,17298,0,1,History,1,1
371,3/9/2014,C,Footwear Mens,17298,0,0,History,1,1
372,3/16/2014,C,Footwear Mens,17298,1,0,History,0,2
373,3/23/2014,C,Footwear Mens,17298,2,1,History,0,4
374,3/30/2014,C,Footwear Mens,17298,2,2,History,0,2
375,4/6/2014,C,Footwear Mens,17298,1,1,History,0,5
376,4/13/2014,C,Footwear Mens,17298,2,3,History,0,5
377,4/20/2014,C,Footwear Mens,17298,2,3,History,0,4
378,4/27/2014,C,Footwear Mens,17298,2,2,History,0,5
379,5/4/2014,C,Footwear Mens,17298,1,3,History,0,1
380,5/11/2014,C,Footwear Mens,17298,0,0,History,0,2
381,5/18/2014,C,Footwear Mens,17298,1,1,History,0,1
382,5/25/2014,C,Footwear Mens,17298,0,0,History,0,5
383,6/1/2014,C,Footwear Mens,17298,2,3,History,0,2
384,6/8/2014,C,Footwear Mens,17298,1,1,History,0,2
385,6/15/2014,C,Footwear Mens,17298,2,1,History,0,4
386,6/22/2014,C,Footwear Mens,17298,2,2,History,0,1
387,6/29/2014,C,Footwear Mens,17298,1,0,History,0,2
388,7/6/2014,C,Footwear Mens,17298,0,1,History,0,2
389,7/13/2014,C,Footwear Mens,17298,2,1,History,0,4
390,7/20/2014,C,Footwear Mens,17298,2,2,History,0,4
391,7/27/2014,C,Footwear Mens,17298,1,2,History,0,2
392,8/3/2014,C,Footwear Mens,17298,1,1,History,0,2
393,8/10/2014,C,Footwear Mens,17298,0,1,History,0,1
394,8/17/2014,C,Footwear Mens,17298,0,0,History,0,1
395,8/24/2014,C,Footwear Mens,17298,0,0,History,0,2
396,8/31/2014,C,Footwear Mens,17298,0,1,History,0,1
397,9/7/2014,C,Footwear Mens,17298,1,0,History,0,2
398,9/14/2014,C,Footwear Mens,17298,1,1,History,0,4
399,9/21/2014,C,Footwear Mens,17298,0,2,History,0,1
400,9/28/2014,C,Footwear Mens,17298,0,0,History,0,1
401,10/5/2014,C,Footwear Mens,17298,0,0,History,0,2
402,10/12/2014,C,Footwear Mens,17298,0,1,History,0,1
403,10/19/2014,C,Footwear Mens,17298,0,0,History,0,2
404,10/26/2014,C,Footwear Mens,17298,0,1,History,0,2
405,11/2/2014,C,Footwear Mens,17298,1,1,History,0,1
406,11/9/2014,C,Footwear Mens,17298,0,0,History,0,2
407,11/16/2014,C,Footwear Mens,17298,3,1,History,0,2
408,11/23/2014,C,Footwear Mens,17298,0,1,History,0,1
409,11/30/2014,C,Footwear Mens,17298,1,0,History,0,2
410,12/7/2014,C,Footwear Mens,17298,1,1,History,0,4
411,12/14/2014,C,Footwear Mens,17298,2,2,History,0,2
412,12/21/2014,C,Footwear Mens,17298,0,1,History,0,2
413,12/28/2014,C,Footwear Mens,17298,1,1,History,0,2
414,1/4/2015,C,Footwear Mens,17298,0,1,History,0,1
415,1/11/2015,C,Footwear Mens,17298,0,0,History,0,2
416,1/18/2015,C,Footwear Mens,17298,1,1,History,0,4
417,1/25/2015,C,Footwear Mens,17298,3,2,History,0,9
418,2/1/2015,C,Footwear Mens,17298,9,6,History,0,9
419,2/8/2015,C,Footwear Mens,17298,7,6,History,0,12
420,2/15/2015,C,Footwear Mens,17298,8,9,History,0,4
421,2/22/2015,C,Footwear Mens,17298,0,2,History,1,1
422,3/1/2015,C,Footwear Mens,17298,1,0,History,0,1
